user_id;first_name;username;group_name;bio;group_count;bio_length;has_photo;site_count;site_list;osint_score;exposure_level;sherlock_status;sherlock_found_count;sherlock_checked_at;last_parsed_at
170063;Andrey;Surzhikov;laravel_pro;разработчик софта в эмиграции, работы: https://surzh.com;1;56;1;0;;65;high;done;0;2026-04-22 04:30:59;2026-04-22 02:35:05
219916;Kirill;alaevka;laravel_pro;💻Fullstack web developer;1;24;1;0;;60;medium;;0;;2026-04-22 02:35:05
552804;Evgenii;perin;laravel_pro;AI First Developer | Team Lead;1;30;1;0;;60;medium;;0;;2026-04-22 02:35:05
562600;Anton;ontoho;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
615917;Vitaly;vitaliyMoc;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
623112;엑시;exeypan;tproger_chat;Exey Panteleev. Software Architect, Tech Enthusiast & Digital Artist. Vaporwave aesthete. github.com/exey;1;105;1;0;;65;high;;0;;2026-04-22 02:35:05
724520;Andrew;andrewganja;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
1135960;Alexander;FZambia;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
1658909;იგორ;IgorFinagin;laravel_pro;👶 32 y.o. 💻 The head of department of individual #IT solutions 🐶 Staffs lover #development #programming;1;103;1;0;;65;high;;0;;2026-04-22 02:35:05
1796282;Kirill;Ph0en1x_wrc;tproger_chat;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
3040228;wzk;q3wzeck;laravel_pro;No-one may build their happiness on another's pain.;1;51;1;0;;65;high;;0;;2026-04-22 02:35:05
4627228;Denis;DenisIzmaylov;devops_ru;www.axept.com 👉 Заказная разработка качественных программных продуктов;1;70;1;0;;65;high;;0;;2026-04-22 02:35:05
20902928;Igor;vdroog;figmachat;Product Designer @ DECTA ⇢ self-aware AI ⌥ 768 Y/O;1;50;1;0;;65;high;;0;;2026-04-22 02:35:05
21752120;Дмитрий;Med1c84;laravel_pro;Backend Lead;1;12;1;0;;60;medium;;0;;2026-04-22 02:35:05
22616448;Виктор;vandesign;figmachat;zendesigner, design system tengu @ Ozon;1;39;1;0;;60;medium;;0;;2026-04-22 02:35:05
22699136;Danila;basketbull04;laravel_pro;Head of Backend AGIMA;1;21;1;0;;60;medium;;0;;2026-04-22 02:35:05
23509434;Андрей;adubrowskiy;laravel_pro;Создал feelifun и chocolate promotion.;1;38;0;0;;50;medium;;0;;2026-04-22 02:35:05
24664328;Evgeniy;KuvshinovEE;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
28384696;Surzzik;Surzzik_teg;andrewgiftschat;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
31881101;Ivan;MrFallen;laravel_pro;Persona non grata;1;17;1;0;;60;medium;;0;;2026-04-22 02:35:05
36787230;Maxim;vukuze;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
40926574;Ovsep;Ovsep;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
43362802;Alibek;alibekam;tproger_chat;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
45384143;Kostya;kest61;tproger_chat;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
45687867;Andrey;zloykaban;devops_ru;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
45889205;Ildar;ildar_kkk;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
48233544;Саша;okunev;figmachat;Продуктовый дизайнер, лид команды дизайн-системы в крупном финтехе Казахстана. Автор @slashdesigner. Также веду личный канал @okunevlive.;1;137;1;0;;70;high;;0;;2026-04-22 02:35:05
50931211;D;sirotind;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
51238287;Julia;Julia_Band;tproger_chat;PM @Yandex RideTech | 📍🇷🇸 | #IAmRemarkable facilitator;1;54;0;0;;55;medium;;0;;2026-04-22 02:35:05
51274698;Даниил;ternitko;tproger_chat;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
51848647;Архив;M_pashka_archive;tproger_chat;Сменил аккаунт. Пишите на @m_pashka;1;35;1;0;;60;medium;;0;;2026-04-22 02:35:05
53415994;Ilya;ilya189;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
53465397;🅰️nimeCoder;AniCoder;laravel_pro;🍊NodeJS developer, enthusiast | animehaze.me | opengram.dev | Love pizza & anime girls |🪄 Author @anilibrix_plus |⚡️ Like what I do? Donate!;1;140;1;0;;70;high;;0;;2026-04-22 02:35:05
53864087;Ivan;Wizard85;laravel_pro;Зачем-то сделал свой канал с умными и не очень мыслями https://t.me/dev_ideas;1;77;1;0;;65;high;;0;;2026-04-22 02:35:05
54117015;Oleg;Metkie;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
55813776;Vlad;;laravel_pro;;1;0;1;0;;20;low;skipped;0;2026-04-22 02:35:05;2026-04-22 02:35:05
56160446;Vitaliy;venuko;laravel_pro;🛠 разработка сайтов;1;19;0;0;;50;medium;;0;;2026-04-22 02:35:05
56470470;Vadim;vadimuxb;laravel_pro;Геймер в ремиссии. Играю в жизнь без респаунов;1;46;1;0;;65;high;;0;;2026-04-22 02:35:05
58343397;Степан;nezabor;laravel_pro;CIO информационной интеграции в будущее. Зачем?🧐;1;48;1;0;;65;high;;0;;2026-04-22 02:35:05
59878659;;;python_ru;;1;0;0;0;;10;low;skipped;0;2026-04-22 02:35:05;2026-04-22 02:35:05
60462179;~MAX 2;yiRixzP5LFphbMT;andrewgiftschat;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
60974656;;;rabota_chaty1;;1;0;0;0;;10;low;skipped;0;2026-04-22 02:35:05;2026-04-22 02:35:05
62491758;ᛉᛜ₭ᗗ;nullyoka;laravel_pro;19 января 2038 @cirnobaka_bot;1;29;1;0;;60;medium;;0;;2026-04-22 02:35:05
63548043;Egor;jkhtdg13;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
63659269;Konstantin;MihaKot;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
63824660;gg;unskilledgoat;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
66327043;Dmitriy;swdmi;tproger_chat;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
68363220;Aleksei;InsanusMokrassar;tproger_chat;Kotlin developer, author of @ktgbotapi;1;38;1;0;;60;medium;;0;;2026-04-22 02:35:05
71376138;Сергей;Malyshev_Ser;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
71643004;CodeLBK;codelbk;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
75942726;Antony;fluffysaurrex;laravel_pro;30, пограмист;1;13;0;0;;50;medium;;0;;2026-04-22 02:35:05
76364948;Mr.;dkhalmatov;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
77829010;عبد الله;notforeverybody;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
78042146;MSD;Osmedved;laravel_pro;Инфлюенсер x10 pro 8d блогер летчик и судостроитель.Профессиональный шахматист, конькобежец, спец в отношениях, таролог в 9 поколении;1;133;0;0;;60;medium;;0;;2026-04-22 02:35:05
80131356;Brz495;Brz495;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
80177598;Artur;quoterman;tproger_chat;Teamlead zen.car | innopolis;1;28;1;0;;60;medium;;0;;2026-04-22 02:35:05
81156414;4;devphp9;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
81284794;Alex;Bioforce;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
81630909;Алексей;alloself;laravel_pro;Senior Frontend Developer;1;25;1;0;;60;medium;;0;;2026-04-22 02:35:05
81760592;Johny;DonnyJokes;tproger_chat;Magic Works;1;11;1;0;;60;medium;;0;;2026-04-22 02:35:05
82001366;Rustam;TrubnikovRustam;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
86211780;Eugeny;;laravel_pro;;1;0;1;0;;20;low;skipped;0;2026-04-22 02:35:05;2026-04-22 02:35:05
89706009;Alexandr;a_kuzminsky;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
90390537;Konstantin;streeboga;laravel_pro;eq.team | Эквитим – Агентство заказной разработки. Усиливаем продуктовые команды Аутсорс/Аутстафф Laravel/Vue/1C.;1;113;1;0;;65;high;;0;;2026-04-22 02:35:05
90808333;Mila;Mimimimila;tproger_chat;HR manager in the past 💁🏽‍♀️ Angular frontend developer now 👩🏽‍💻;1;64;1;0;;65;high;;0;;2026-04-22 02:35:05
91137551;Maksim;s17490;laravel_pro;;1;0;1;0;;35;low;;0;;2026-04-22 02:35:05
92310021;Dezmont;dezmonter;laravel_pro;;1;0;0;0;;25;low;;0;;2026-04-22 02:35:05
92421972;Anatoly;Lonewolfkaz;figmachat;Соединяю точки в финтехе. Пишу на канале @io_parlo;1;50;1;0;;65;high;;0;;2026-04-22 02:35:05
92747120;vxthr;vxthr;laravel_pro;23 y.o. designer from San Francisco;1;35;0;0;;50;medium;;0;;2026-04-22 02:35:05
93774526;Владислав;termitFOvlad;laravel_pro;IT+Industry. Цифровизирую промышленность в РФ. Подробнее: RichBee.ru / Cifra.ai;1;79;0;0;;55;medium;;0;;2026-04-22 02:35:05
